timestamp,resolution,playback_mode,buffer,rsrp,thput
2019-09-21 14:03:25.679,6,1,22.064503,-103,572486
2019-09-21 14:03:26.686,6,1,26.476597,-103,370310
2019-09-21 14:03:27.696,6,1,25.468077,-103,257941
2019-09-21 14:03:28.703,6,1,24.458916,-103,263495
2019-09-21 14:03:29.714,6,1,23.448726,-103,349439
2019-09-21 14:03:30.723,6,1,22.44024,-103,551370
2019-09-21 14:03:31.731,6,1,24.001105,-103,363816
2019-09-21 14:03:32.736,6,1,25.763017,-103,451774
2019-09-21 14:03:33.745,6,1,24.75411,-103,281856
2019-09-21 14:03:34.750,6,1,23.748087,-103,458833
2019-09-21 14:03:35.760,6,1,22.739041,-103,278353
2019-09-21 14:03:36.768,6,1,27.068005,-103,268077
2019-09-21 14:03:37.778,6,1,26.057263,-103,311619
2019-09-21 14:03:38.787,6,1,25.049121,-103,409238
2019-09-21 14:03:39.798,6,1,24.037164,-103,545415
2019-09-21 14:03:40.810,6,1,23.026256,-103,393700
2019-09-21 14:03:41.817,6,1,27.356361,-103,506945
2019-09-21 14:03:42.826,6,1,26.347188,-103,328262
2019-09-21 14:03:43.836,6,1,25.338306,-103,504571
2019-09-21 14:03:44.843,6,1,24.328148,-103,373063
2019-09-21 14:03:45.856,6,1,28.660592,-103,503864
2019-09-21 14:03:46.862,6,1,27.647757,-103,401914
2019-09-21 14:03:47.871,6,1,26.641332,-103,449433
2019-09-21 14:03:48.877,6,1,25.632108,-103,501726
2019-09-21 14:03:49.887,6,1,24.624256,-103,558883
2019-09-21 14:03:50.896,6,1,23.614123,-103,453716
2019-09-21 14:03:51.908,6,1,28.06397,-103,529172
2019-09-21 14:03:52.915,6,1,27.056977,-103,311502
2019-09-21 14:03:53.924,6,1,26.046004,-103,416897
2019-09-21 14:03:54.934,6,1,30.044534,-103,390702
2019-09-21 14:03:55.943,6,1,29.033188,-103,547569
2019-09-21 14:03:56.949,6,1,28.772948,-103,351918
2019-09-21 14:03:57.956,6,1,32.482576,-103,508339
2019-09-21 14:03:58.967,6,1,31.474313,-103,482980
2019-09-21 14:03:59.973,6,1,30.463847,-103,317659
2019-09-21 14:04:00.980,6,1,29.458351,-103,500355
2019-09-21 14:04:01.990,6,1,28.446763,-103,278164
2019-09-21 14:04:03.001,6,1,27.435463,-103,389976
2019-09-21 14:04:04.010,6,1,26.427511,-103,355126
2019-09-21 14:04:05.019,6,1,25.417254,-103,379622
2019-09-21 14:04:06.027,6,1,24.410035,-103,388781
2019-09-21 14:04:07.036,6,1,23.399997,-103,325070
2019-09-21 14:04:08.044,6,1,22.391854,-103,307844
2019-09-21 14:04:09.051,6,1,26.667763,-103,497749
2019-09-21 14:04:10.063,6,1,25.658907,-103,282731
2019-09-21 14:04:11.072,6,1,44.646509,-103,359461
2019-09-23 02:15:00.000,5,1,4.00631,-112,677976
2019-09-23 02:15:01.037,5,1,2.974268,-112,877786
2019-09-23 02:15:02.051,6,1,1.954321,-112,851604
2019-09-23 02:15:03.062,6,1,0.945291,-112,982514
2019-09-23 02:15:04.074,6,3,0.083791,-112,916370
2019-09-23 02:15:05.085,6,3,0.083791,-114,936630
2019-09-23 02:15:06.100,6,3,0.083791,-116,429960
2019-09-23 02:15:07.112,6,3,0.083791,-116,864006
2019-09-23 02:15:08.125,6,3,0.083791,-116,1242956
2019-09-23 02:15:09.132,6,1,8.025848,-114,978380
2019-09-23 02:15:10.144,6,1,19.317298,-114,1145118
2019-09-23 02:15:11.152,6,1,23.706752,-116,622470
2019-09-23 02:15:12.165,6,1,22.694405,-116,835068
2019-09-23 02:15:13.177,6,1,21.685004,-116,859872
2019-09-23 02:15:14.188,6,1,20.67162,-116,749632
2019-09-23 02:15:15.197,6,1,19.661559,-116,726206
2019-09-23 02:15:16.213,6,1,18.680573,-116,730340
2019-09-23 02:15:17.221,6,1,17.66546,-116,781326
2019-09-23 02:15:18.233,6,1,16.655716,-116,532900
2019-09-23 02:15:19.246,6,1,15.642704,-116,658684
2019-09-23 02:15:20.256,6,1,14.632988,-116,762034
2019-09-23 02:15:21.266,6,1,13.62215,-116,767546
2019-09-23 02:15:22.279,6,1,12.610666,-116,869518
2019-09-23 02:15:23.286,6,1,20.392666,-116,814398
2019-09-23 02:15:24.301,6,1,21.265009,-116,654550
2019-09-23 02:15:25.311,6,1,20.257118,-116,703748
2019-09-23 02:15:26.318,6,1,19.247324,-116,263222
2019-09-23 02:15:27.328,6,1,18.239981,-116,686244
2019-09-23 02:15:28.338,6,1,17.228781,-116,622856
2019-09-23 02:15:29.351,6,1,21.552254,-116,613210
2019-09-23 02:15:30.366,6,1,20.539623,-116,599430
2019-09-23 02:15:31.380,6,1,19.529948,-116,389974
2019-09-23 02:15:32.385,6,1,22.473613,-116,389974
2019-09-23 02:15:33.395,6,1,22.847902,-114,361036
2019-09-23 02:15:34.402,6,1,21.839601,-116,387218
2019-09-23 02:15:35.410,6,1,20.834186,-116,493324
2019-09-23 02:15:36.420,6,1,19.823163,-114,448842
2019-09-23 02:15:37.434,6,1,18.809753,-112,383084
2019-09-23 02:15:38.440,6,1,17.802451,-114,795106
2019-09-23 02:15:39.450,6,1,16.792225,-112,730340
2019-09-23 02:15:40.459,6,1,15.786518,-112,577382
